Removed duplicates of file with Size: 123.511.024 bytes; 

$awk '!seen[$0]++' boot_success_b0x2f000000_addr_output_bigger.txt > boot_success_b0x2f000000_addr_output_bigger_cleaned.txt

This Files shows 'all' reads and writes during boot process that are:
> 0x2f000000

Beforehand it was observed that addresses from somewhere in that range are readed during the boot process, w/o beeing written from qemu;
By excluding certain addresses, it was possible to finally boot the kernel again with activated encryption;


~ [No Crypt] addr: 3fa4b888; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b95c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b8ec; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b8f0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ba84; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b83c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4baf8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bd68; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b88; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b90; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b98; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f156fa0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f156fd8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004ba0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004ba8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004bb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f208002; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f20800a; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f208012; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f20801a; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f208022; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f20802a; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f208032; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f20803a; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f208042; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f20804a; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f208052; size: 8; type mem_op_read;
~ [No Crypt] addr: 2f20805a; size: 2; type mem_op_read;
~ [No Crypt] addr: 2f004bb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004bbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 2fffa808; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22f004; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fbc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fbcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22f00c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22f014; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22f024; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22f200; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22f01c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fbfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fbdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fbe0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22f008; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22f204; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22f010; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fe3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fbc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fbc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fbb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22f000; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22f018; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fbf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22fbe4; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22c000; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4d89c; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f22edbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa54c70; size: 4; type mem_op_read;
