Removed duplicates of file with Size: 1,4 GB

$awk '!seen[$0]++' boot_success_addr_output_complete.txt > boot_success_addr_output_complete_cleaned.txt


This Files shows 'all' reads and writes during boot process in the following address range:
addr > 0x2f000000 || addr < 0x84F0992

This are all reads/writes that occur during boot process w/o duplicates;
It seems to oscillate between the small addresses near the roms, the higher addresses that are not written by QEMU writes and the rootfs image file.


[TRACE]:


~ [No Crypt] addr: 80bfbc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bffdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be0c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bd9c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bd98; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bedb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb98; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bba4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb88; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb84; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bedb4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cea4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ceec; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bde4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4984c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bba8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cef0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4be58; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdd0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb80; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cef4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cef8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ceb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cee0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cea8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ceb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cec4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ced4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cec8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ceb4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cee4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ced0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb9c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cebc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ced8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ceac; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cedc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49844; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cecc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cee8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cec0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cefc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bdec; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bba0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb8c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb94; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb0c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bac0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b9e0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b878; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf34; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4985c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49850; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf58; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a14; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf50; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf4c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb28; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49860; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b868; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b86c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4babc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b854; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b850; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a9c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b914; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b874; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a44; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49880; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49864; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b864; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b85c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b860; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b858; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b870; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b9c4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49aa0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b880; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa499e8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a18; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa49a48; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b97c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b978; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb1c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b9a8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf38; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf30; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb10; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b898; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b9d8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bacc; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b834; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b84c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfa0; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfa4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b888; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bb00; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cfa8; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b87c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b80c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b810; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4b9a4; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4cf5c; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4ba18; size: 4; type mem_op_read;
~ [No Crypt] addr: 3fa4bc88; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bf210; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bfc20; size: 4; type mem_op_read;
~ [No Crypt] addr: 80bf020; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b88; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b90; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004b98; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f14cfa0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f14cfd8; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004ba0; size: 4; type mem_op_read;
~ [No Crypt] addr: 2f004ba8; size: 4; type mem_op_read;
